,two_GRU_two_Linear,two_LSTM_one_CNN_two_Linear,two_LSTM_two_Linear,two_LSTM_one_Linear,two_LSTM_three_Linear,two_GRU_three_LSTM,USA
1999-48,0.023499249,0.031150531,0.028322313,0.039635394,0.029184867,0.034105152,0.0
1999-49,0.021930395,0.029807178,0.028801586,0.03571828,0.02887205,0.035398744,0.0
1999-50,0.026884027,0.028246727,0.027943157,0.037116595,0.029000843,0.03492322,0.0
1999-51,0.024464691,0.02825256,0.028066535,0.0348773,0.029694837,0.034908727,0.0
1999-52,0.02876497,0.027895238,0.027289957,0.03461828,0.029743634,0.035711356,0.0
2000-01,0.029319052,0.026034713,0.028502788,0.040141787,0.028725026,0.034774035,0.0
2000-02,0.035733964,0.027184429,0.028486826,0.0366961,0.02882444,0.035349116,0.0
2000-03,0.027347168,0.024703605,0.02818581,0.03697019,0.028005425,0.03422921,0.0
2000-04,0.02764669,0.024711953,0.027297527,0.0355612,0.027833655,0.033025913,0.0
2000-05,0.023178365,0.024469197,0.026684538,0.03452597,0.027182302,0.032472067,0.0
2000-06,0.024254397,0.024135616,0.026326,0.032644656,0.02685908,0.031176537,0.0
2000-07,0.022636415,0.02340921,0.026855465,0.03195396,0.026551116,0.031221367,0.0
2000-08,0.022682521,0.023090072,0.025968518,0.030579574,0.026452787,0.030020684,0.0
2000-09,0.022630133,0.021832004,0.02628604,0.028846018,0.02486628,0.02872938,0.0
2000-10,0.021217003,0.02065624,0.02587511,0.030058432,0.026197724,0.028313808,0.0
2000-11,0.024232104,0.021075917,0.026102662,0.029895917,0.025853913,0.028134018,0.0
2000-12,0.022797696,0.020147534,0.025723625,0.030053794,0.025769303,0.027753703,0.0
2000-13,0.023577763,0.021076838,0.026245616,0.030641314,0.025713094,0.026712619,0.0
2000-14,0.023476861,0.020017065,0.026393432,0.030399166,0.026190817,0.027409188,0.0
2000-15,0.022431621,0.020312855,0.02623548,0.030250877,0.025330923,0.02703958,0.0
2000-16,0.021722646,0.021110533,0.02616731,0.031107236,0.025928635,0.027096473,0.0
2000-17,0.024316655,0.020883603,0.027530074,0.029817395,0.025919331,0.02697827,0.0
2000-18,0.023419801,0.021237882,0.027057134,0.030246507,0.025573835,0.027745172,0.0
2000-19,0.024050655,0.020892095,0.026470844,0.03121436,0.025756253,0.028300904,0.0
2000-20,0.023177521,0.021587387,0.026040852,0.030970223,0.025868451,0.027911916,0.0
2000-21,0.023349099,0.021882711,0.026283268,0.031198658,0.025749505,0.028370768,0.0
2000-22,0.023489304,0.02251796,0.02626954,0.031745546,0.025900228,0.028937913,0.0
2000-23,0.023585208,0.02237102,0.026442345,0.031582214,0.025949597,0.028756775,0.0
2000-24,0.02362961,0.022708572,0.026502118,0.031529315,0.02597735,0.02890341,0.0
2000-25,0.023689764,0.02292469,0.026701111,0.031975836,0.026042668,0.029188469,0.0
2000-26,0.023852188,0.023099782,0.026866492,0.03200613,0.02605782,0.029407889,0.0
2000-27,0.023735933,0.023261394,0.026874948,0.03212782,0.025989776,0.029423185,0.0
2000-28,0.02399942,0.023334745,0.026869588,0.032289885,0.0260951,0.02960831,0.0
2000-29,0.023999052,0.023178648,0.02696937,0.032232575,0.025953239,0.029661268,0.0
2000-30,0.02389292,0.023375276,0.02702666,0.03247375,0.025968784,0.029822253,0.0
2000-31,0.02385299,0.023311889,0.02715519,0.03241241,0.026023809,0.029684216,0.0
2000-32,0.023745883,0.023372311,0.027177602,0.03231077,0.026064904,0.02976048,0.0
2000-33,0.023872554,0.02344407,0.02721177,0.03236053,0.025980772,0.029795334,0.0
2000-34,0.023788229,0.023497682,0.027208634,0.032351866,0.026013752,0.029767416,0.0
2000-35,0.023857089,0.023517575,0.027204078,0.03234745,0.026004009,0.029739529,0.0
2000-36,0.023830075,0.023524188,0.02720311,0.032391004,0.02600151,0.029818796,0.0
2000-37,0.023883563,0.023599144,0.027235854,0.032409936,0.025989313,0.029792696,0.0
2000-38,0.023878194,0.023651354,0.02724097,0.032350846,0.026011376,0.029781863,0.0
2000-39,0.023949567,0.023575436,0.027212512,0.032345116,0.025983388,0.029760748,0.0
2000-40,0.023874717,0.023529923,0.027183667,0.032438293,0.025961744,0.029801428,0.0
2000-41,0.023860097,0.023527961,0.027239934,0.03243175,0.025995066,0.029784642,0.0
2000-42,0.02381643,0.02353683,0.027259275,0.03239855,0.025988046,0.029780172,0.0
2000-43,0.023855524,0.023543168,0.027277645,0.032414824,0.02599232,0.029822037,0.0
2000-44,0.023826191,0.023503859,0.027243853,0.03238778,0.02595271,0.029750027,0.0
2000-45,0.023656348,0.023470972,0.027255557,0.032357797,0.02596026,0.029750757,0.0
2000-46,0.02355431,0.023448514,0.027329564,0.032350354,0.025931474,0.029755257,0.0
