starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\gru_23-24.pth
Train loss: 0.9995194211184071 Val loss: 0.1471406031896722 Time: 1.432680199999993
Train loss: 1.0262576933850482 Val loss: 0.14875236765162408 Time: 1.3955498999999918
Train loss: 1.0092755932818918 Val loss: 0.15288442233852784 Time: 1.1396784000000082
Train loss: 1.07933054412689 Val loss: 0.15992212088854496 Time: 1.4631075000000067
Train loss: 1.0511581946483233 Val loss: 0.1547213290014576 Time: 1.2583765999999628
Train loss: 0.9603751897579826 Val loss: 0.1491928313401748 Time: 1.504489700000022
Train loss: 1.1321994455164486 Val loss: 0.16231193339592145 Time: 1.6255041999999662
Train loss: 1.1001999334074526 Val loss: 0.1599601149945069 Time: 1.466520800000012
Train loss: 0.9749632724934116 Val loss: 0.147099767972578 Time: 1.4677423999999633
Train loss: 0.9516148947795955 Val loss: 0.1503834761506696 Time: 1.2099721000000159
Train loss: 1.0397094466205488 Val loss: 0.15779964919453648 Time: 1.6728992999999832
Train loss: 1.1616706912450923 Val loss: 0.16685873489073585 Time: 1.2980951000000118
Train loss: 0.9522834049175799 Val loss: 0.15529703397869818 Time: 1.3577781999999843
Train loss: 1.0009833215344202 Val loss: 0.15744504076785965 Time: 1.4622004999999945
Train loss: 1.1976691877902397 Val loss: 0.16740026169536473 Time: 1.2616098000000306
Train loss: 1.0392794025886474 Val loss: 0.16226771000310514 Time: 1.4826886999999829
Train loss: 1.0614035857713162 Val loss: 0.15951182100458966 Time: 1.3280381999999804
Train loss: 0.9703848849836731 Val loss: 0.15133413654884345 Time: 1.484685499999955
Train loss: 1.047321072328538 Val loss: 0.16014344888270401 Time: 1.2978063999999563
Shrinking learning rate to 1.0000000000000002e-06
Train loss: 1.015241108691768 Val loss: 0.15512344416391133 Time: 1.4813662999999906
Train loss: 0.9460050321108485 Val loss: 0.1506278855967796 Time: 1.328925599999991
Train loss: 0.9875363953527199 Val loss: 0.15372013211293367 Time: 1.3239697000000206
Train loss: 0.9940289087938723 Val loss: 0.15472190513788586 Time: 1.5311360000000036
Train loss: 1.121379870721345 Val loss: 0.16265260013831387 Time: 1.0890990999999985
Train loss: 0.9695120952283531 Val loss: 0.15281426228576572 Time: 1.416561999999999
Train loss: 1.105359739701072 Val loss: 0.1614705415477709 Time: 1.3585187999999562
Train loss: 1.0522807726827068 Val loss: 0.15781504325693374 Time: 1.559639699999991
Train loss: 1.0254675025981115 Val loss: 0.1568867671446325 Time: 1.3820746999999756
Train loss: 1.0300666299778527 Val loss: 0.15676156692334767 Time: 1.2028824000000213
Train loss: 0.9482735277955108 Val loss: 0.15126849385099767 Time: 1.6122620000000438
Shrinking learning rate to 1.0000000000000002e-07
Learning rate getting small
Complete
 Total time: 267.808687
