starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_drop_23-24.pth
Train loss: 0.8926507744414955 Val loss: 0.045162856578826904 Time: 1.975834500000019
Train loss: 0.8672027312435162 Val loss: 0.05064976215362549 Time: 2.0857453999997233
Train loss: 0.9291639584232856 Val loss: 0.04517626762390137 Time: 2.053712500000074
Train loss: 0.8003281518449938 Val loss: 0.0546717643737793 Time: 2.0414066000003004
Train loss: 0.8303952138878898 Val loss: 0.053706467151641846 Time: 2.0271624999995765
Train loss: 0.8711065846247266 Val loss: 0.052124619483947754 Time: 1.9257780000007187
Train loss: 0.9744437553927696 Val loss: 0.05518883466720581 Time: 1.7245841000003566
Train loss: 0.8563664858059816 Val loss: 0.05270320177078247 Time: 2.1035305000004882
Train loss: 0.8798639273144317 Val loss: 0.04544210433959961 Time: 2.691458100000091
Train loss: 0.8972838969754156 Val loss: 0.05204498767852783 Time: 2.1624438999997437
Train loss: 1.0922168229632234 Val loss: 0.04169189929962158 Time: 1.9615622999999687
Train loss: 0.7862786528587975 Val loss: 0.050639986991882324 Time: 2.787751200000457
Train loss: 0.8601467222309902 Val loss: 0.044531822204589844 Time: 1.7755417000007583
Train loss: 0.7536386804192432 Val loss: 0.0449826717376709 Time: 2.111101399999825
Train loss: 0.9681506923363372 Val loss: 0.043929994106292725 Time: 2.2423628999995344
Train loss: 0.8823020947076863 Val loss: 0.03860056400299072 Time: 2.56595279999965
Train loss: 0.8404102826283193 Val loss: 0.04302859306335449 Time: 2.1545853999996325
Train loss: 0.8234215322292764 Val loss: 0.055294156074523926 Time: 2.1024027000003116
Train loss: 0.9962913871399905 Val loss: 0.04687237739562988 Time: 1.8887402999998812
Train loss: 0.9068628424329859 Val loss: 0.04428911209106445 Time: 2.147277699999904
Train loss: 0.7576876746199019 Val loss: 0.0457187294960022 Time: 2.2420755999992252
Train loss: 0.8951474636608198 Val loss: 0.049147963523864746 Time: 1.8262901000007332
Train loss: 0.8399502705176474 Val loss: 0.05159550905227661 Time: 1.8138184999997975
Shrinking learning rate to 1.0000000000000002e-06
Train loss: 0.8902150347784925 Val loss: 0.044467389583587646 Time: 2.103693000000021
Train loss: 0.9753160568429777 Val loss: 0.04386991262435913 Time: 2.059268599999996
Train loss: 0.9363083882553851 Val loss: 0.04384303092956543 Time: 1.900596299999961
Train loss: 0.8689032561347432 Val loss: 0.044797539710998535 Time: 1.9789727999996103
Train loss: 0.8229575852479911 Val loss: 0.04583871364593506 Time: 1.9425516000001153
Train loss: 0.9232642618896776 Val loss: 0.04596984386444092 Time: 1.6817028999994363
Train loss: 1.1113217224754877 Val loss: 0.04537379741668701 Time: 1.8286433000002944
Train loss: 0.9027251734033399 Val loss: 0.045122385025024414 Time: 1.9784982999999556
Train loss: 0.9601405122727535 Val loss: 0.04554164409637451 Time: 2.1182521999999153
Train loss: 0.8030050943076539 Val loss: 0.04585444927215576 Time: 1.9556467000002158
Shrinking learning rate to 1.0000000000000002e-07
Learning rate getting small
Complete
 Total time: 434.8241530000005
