starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\lstm_drop_22-23.pth
Train loss: 1.0117991513658353 Val loss: 0.744515854706151 Time: 1.0871607000008225
Train loss: 0.8916059674752728 Val loss: 0.7161147994338535 Time: 1.1626220000034664
Train loss: 0.776706969787881 Val loss: 0.6460558740982378 Time: 1.2047796999977436
Train loss: 0.9151252793806322 Val loss: 0.8321712902688887 Time: 1.1784657999960473
Train loss: 0.8057999454425726 Val loss: 0.6731733836552394 Time: 1.2422028000000864
Train loss: 0.9313823913634351 Val loss: 0.701725637569325 Time: 1.1547644000092987
Train loss: 0.803735211810304 Val loss: 0.7078600979439216 Time: 1.1090714000019943
Shrinking learning rate to 1e-05
Train loss: 0.8178866732623646 Val loss: 0.7730177076603866 Time: 1.1131807999918237
Train loss: 0.7943746710463699 Val loss: 0.7960275094210374 Time: 1.0359696999948937
Train loss: 0.8269986920558701 Val loss: 0.7674007445330062 Time: 1.0519572000048356
Train loss: 0.9608602516994154 Val loss: 0.7945450598726893 Time: 1.1263842999906046
Train loss: 0.7899479351352738 Val loss: 0.7770342408065289 Time: 1.1762142999941716
Train loss: 0.7742410535476125 Val loss: 0.8053173116923062 Time: 1.2572432000015397
Train loss: 0.9002672089269552 Val loss: 0.7464660974728758 Time: 1.0085753000021214
Train loss: 0.7626903146876944 Val loss: 0.7767427798122668 Time: 1.108045500004664
Train loss: 0.8588193262723998 Val loss: 0.8105203411255388 Time: 1.0374295000074198
Train loss: 0.7669099746092485 Val loss: 0.7798998635635144 Time: 1.1057646999979625
Shrinking learning rate to 1.0000000000000002e-06
Train loss: 0.8764258566017062 Val loss: 0.7889527059242027 Time: 1.1300876999885077
Train loss: 0.830968705751836 Val loss: 0.7884268372076804 Time: 1.0112815000029514
Train loss: 0.8668933212994158 Val loss: 0.7871903506270428 Time: 1.1106120000040391
Train loss: 0.8305136946468972 Val loss: 0.790715307807659 Time: 0.9996384999976726
Train loss: 0.9189817094538455 Val loss: 0.7962718093367585 Time: 1.1113916999893263
Train loss: 0.8463085208407559 Val loss: 0.7915128637059752 Time: 1.070814299993799
Train loss: 0.8152306258741122 Val loss: 0.7876985778093513 Time: 1.0259069000021555
Train loss: 0.8647546302218281 Val loss: 0.787110124892024 Time: 1.196388600001228
Train loss: 0.8817156247312141 Val loss: 0.7894348835343408 Time: 1.0471786999987671
Train loss: 0.8345390310607961 Val loss: 0.791356068364621 Time: 1.1550248999992618
Shrinking learning rate to 1.0000000000000002e-07
Learning rate getting small
Complete
 Total time: 156.87438680000196
