starting log for model: Q:\00- PROJECTS\Flu Forecasts\flu\flu\models\gru_B_22-23.pth
Train loss: 0.7525568608271858 Val loss: 2.3636746310730814 Time: 0.542644700006349
Train loss: 0.7996958020554854 Val loss: 2.3257085858385835 Time: 0.5257221000210848
Train loss: 0.8511005592813561 Val loss: 2.2583116141468054 Time: 0.5493965999921784
Train loss: 0.7987661787445433 Val loss: 2.359282621440798 Time: 0.5519502999959514
Train loss: 0.8013808635589363 Val loss: 2.349228056591528 Time: 0.5823427000141237
Train loss: 0.8290417185693748 Val loss: 2.2247656898861976 Time: 0.5825791999814101
Train loss: 0.7643285632815946 Val loss: 2.1095536324573914 Time: 0.5492752999998629
Train loss: 0.7475562163511071 Val loss: 2.3124975366008584 Time: 0.6335320000071079
Train loss: 0.7815651620763688 Val loss: 2.283648489988991 Time: 0.5479600000253413
Train loss: 0.8382792733542601 Val loss: 2.154142607082804 Time: 0.5662489000242203
Train loss: 0.7733094941516647 Val loss: 2.3233888560789637 Time: 0.5594338999944739
Train loss: 0.8279923303608712 Val loss: 2.284373389062239 Time: 0.7137097000086214
Train loss: 0.8153767734820008 Val loss: 2.235596744387294 Time: 0.5296411000017542
Train loss: 0.7448578590093364 Val loss: 2.082639034537351 Time: 0.5963243000151124
Train loss: 0.7668154418405884 Val loss: 2.214394892551354 Time: 0.566473999992013
Train loss: 0.7040504872132693 Val loss: 2.1361231985811173 Time: 0.7368533999833744
Train loss: 0.7027206946561328 Val loss: 2.1576693552633515 Time: 0.7711896999971941
Train loss: 0.8165941572644151 Val loss: 2.097792939048304 Time: 0.5404721999948379
Train loss: 0.8239672990422946 Val loss: 2.164875453527202 Time: 0.5698416999948677
Train loss: 0.7305724656900452 Val loss: 2.083529055571489 Time: 0.541085299977567
Train loss: 0.7499548377734266 Val loss: 2.1924133380816784 Time: 0.5958993000094779
Train loss: 0.767700417474348 Val loss: 2.1756109518209996 Time: 0.514355199993588
Train loss: 0.764054076343694 Val loss: 2.042197937518722 Time: 0.5568316999997478
Train loss: 0.7430512579026498 Val loss: 2.1866069068491925 Time: 0.5951781000185292
Train loss: 0.7945792568765455 Val loss: 2.4267290926072747 Time: 0.5459222000208683
Train loss: 0.801646842216968 Val loss: 1.964788347519061 Time: 0.5689980999741238
Shrinking learning rate to 1e-05
Train loss: 0.8530477646020671 Val loss: 2.274217185098678 Time: 0.566032799979439
Train loss: 0.7409020762578109 Val loss: 2.32295684638666 Time: 0.5621597999997903
Train loss: 0.7815488748934039 Val loss: 2.320288798015099 Time: 0.5576597000181209
Train loss: 0.7499225626788188 Val loss: 2.3006588342250325 Time: 0.5534932999871671
Train loss: 0.7888688337097882 Val loss: 2.331837917852681 Time: 0.48374960001092404
Train loss: 0.7523717504038814 Val loss: 2.345339693245478 Time: 0.49025410000467673
Train loss: 0.7819319715485575 Val loss: 2.3084524469450116 Time: 0.47179339997819625
Train loss: 0.7325708607082044 Val loss: 2.3193774907267652 Time: 0.562849499983713
Train loss: 0.7296609976485087 Val loss: 2.3271208804217167 Time: 0.5634271000162698
Train loss: 0.6991947208366247 Val loss: 2.3281561976182275 Time: 0.5636786999821197
Train loss: 0.7388066747785151 Val loss: 2.3533358121057972 Time: 0.6113409000099637
Train loss: 0.740493934460301 Val loss: 2.333841481828131 Time: 0.552970999997342
Train loss: 0.7268857675704936 Val loss: 2.333599720383063 Time: 0.528278500016313
Train loss: 0.7041687175893704 Val loss: 2.316263454093132 Time: 0.5198726000089664
Train loss: 0.7956628566967909 Val loss: 2.3243477709474973 Time: 0.5168029999767896
Train loss: 0.6713762831639976 Val loss: 2.3142279775929637 Time: 0.5266919999849051
Train loss: 0.724874323482954 Val loss: 2.3378042491385713 Time: 0.5220663999789394
Train loss: 0.6925440286368989 Val loss: 2.3081089836196043 Time: 0.5280021000071429
Train loss: 0.6959371215448868 Val loss: 2.3281164021464065 Time: 0.5646255000028759
Train loss: 0.7380100221435971 Val loss: 2.318579218350351 Time: 0.61824969999725
Train loss: 0.6547256519303062 Val loss: 2.294820465729572 Time: 0.5045682000054512
Train loss: 0.7336735836765484 Val loss: 2.330674626166001 Time: 0.5966569000156596
Train loss: 0.6996608072241344 Val loss: 2.3203765854705125 Time: 0.5389033000101335
Train loss: 0.7668459892379076 Val loss: 2.3293613144778647 Time: 0.5279770000197459
Train loss: 0.7539161009531234 Val loss: 2.31730905798031 Time: 0.55356890000985
Train loss: 0.7338896351578228 Val loss: 2.3268000072566792 Time: 0.5401684000098612
Train loss: 0.7144753366639494 Val loss: 2.3281840584240854 Time: 0.5388676000002306
Train loss: 0.6935084793860833 Val loss: 2.2965946444892325 Time: 0.5025664000131655
Train loss: 0.7045573373525258 Val loss: 2.3236274660448544 Time: 0.4750225000025239
Train loss: 0.7447722515822335 Val loss: 2.2798356738639995 Time: 0.5573876999842469
Shrinking learning rate to 1.0000000000000002e-06
Train loss: 0.6942029876315132 Val loss: 2.2998372740112245 Time: 0.5616849999933038
Train loss: 0.6521514097563603 Val loss: 2.306104503979441 Time: 0.7328813999774866
Train loss: 0.7391035043335332 Val loss: 2.311182088975329 Time: 0.7573828999884427
Train loss: 0.7277884412848117 Val loss: 2.313724165374879 Time: 0.57376529998146
Train loss: 0.7038791806520663 Val loss: 2.3123909950372763 Time: 0.6327668000012636
Train loss: 0.7640931524989014 Val loss: 2.308912964304909 Time: 0.5242894999973942
Train loss: 0.69542582236204 Val loss: 2.3095595620106906 Time: 0.5263648999971338
Train loss: 0.6650527256303889 Val loss: 2.310219267383218 Time: 0.5808802999963518
Train loss: 0.6790200501883277 Val loss: 2.3150335326208733 Time: 0.5826403000100981
Train loss: 0.7232482026730409 Val loss: 2.3219593330286443 Time: 0.5253863999969326
Train loss: 0.7148038264903249 Val loss: 2.3213010755134746 Time: 0.516593299980741
Shrinking learning rate to 1.0000000000000002e-07
Learning rate getting small
Complete
 Total time: 133.60507229997893
